,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Years with fires,Average Distance,Stdev,Median
2,,,,,,,,,,,,,,,,,11080.52046,11025.49547,11066.90793,12759.13176,10968.75789,12234.5993,,6,11522.5688,773.6791802,11073.7142
3,,,,,,,,,,,,,,,,,,23084.22467,,,,,,1,23084.22467,#DIV/0!,23084.22467
4,,,,,,,,,,,,,,,,,1826.931106,10930.46882,8211.514059,5720.181154,,,,4,6672.273785,3868.044796,6965.847607
5,,,,,,,,,,,,,,,,1248.363935,1609.603696,1444.735513,1793.667979,1424.448794,1391.839318,780.4071478,1603.012695,8,1412.009885,304.3782534,1434.592154
6,,,,,,,,,,,,,,,,,4025.204691,2700.415795,5551.486115,4781.075392,,2050.006977,2365.883649,6,3579.012103,1422.404056,3362.810243
7,,,,,,,,,,,,,,,,3350.349469,4380.269686,3489.244123,3420.042359,3724.986314,3826.788195,1737.485304,2782.996282,8,3339.020217,790.5174382,3454.643241
8,,,,,,,,,,,,,,,,,3070.222073,2922.053637,,,3033.716269,3596.570741,2612.755892,5,3047.063722,355.9927107,3033.716269
9,,,,,,,,,,,,,,,,3405.955994,3296.31816,2835.848332,2898.736185,2736.069783,,2556.66334,3921.857577,7,3093.064196,473.4987127,2898.736185
10,,,,,,,,,,,,,,,,983.9438291,973.9146463,1167.917103,1323.705705,1061.726787,800.659326,1248.197639,806.927018,8,1045.874007,192.5433281,1022.835308
11,,,,,,,,,,,,,,,,5093.635162,4215.239695,3737.633759,2481.063015,4025.453899,4802.252535,4369.136955,1912.434975,8,3829.606249,1103.536278,4120.346797
12,,,,,,,,,,,,,,,,,3797.368177,3064.240901,3366.375755,,,,,3,3409.328278,368.4461835,3366.375755
13,,,,,,,,,,,,,,,,,1676.321104,1457.058617,1440.198308,1596.679982,1598.511914,1708.891871,1636.38637,7,1587.721167,103.2254707,1598.511914
14,,,,,,,,,,,,,,,,,5554.536268,2147.703637,3393.47545,2274.65716,6215.051653,1696.913633,12143.50027,7,4775.119724,3685.870498,3393.47545
15,,,,,,,,,,,,,,,,,10288.75177,9484.962978,10281.43221,8547.045907,13926.7714,9447.815071,9277.958756,7,10179.2483,1758.777801,9484.962978
16,,,,,,,,,,,,,,,,,5367.96757,,5951.683108,6245.79123,6171.428389,6132.495387,6128.425893,6,5999.63193,324.2369383,6130.46064
17,,,,,,,,,,,,,,,,,8121.042309,8583.341681,6196.309746,10509.79352,4412.402104,8282.645627,10427.62372,7,8076.16553,2187.494633,8282.645627
18,,,,,,,,,,,,,,,,,,,2026.620996,1992.431608,1989.433115,2024.822091,,4,2008.326953,20.13620863,2008.62685
21,,,,,,,,,,,,,,,,,,,,11431.44003,,,,1,11431.44003,#DIV/0!,11431.44003
22,,,,,,,,,,,,,,,,,5550.861776,5443.123423,,,7283.506402,,,3,6092.4972,1032.849978,5550.861776
26,,,,,,,,,,,,,,,,,,12093.81152,10391.06129,8735.148539,12026.73654,13047.38293,12439.67857,6,11455.63656,1598.110962,12060.27403
33,,,,,,,,,,,,,,,,,,11302.50602,,18133.95724,10650.13544,,,3,13362.19957,4145.316672,11302.50602
38,,,,,,,,,,,,,,,,,12903.23615,6359.498573,,9010.030064,12542.01034,,,4,10203.69378,3106.869979,10776.0202
39,,,,,,,,,,,,,,,,,,20932.75372,27491.10095,24819.15618,22025.95558,27419.0867,,5,24537.61063,3016.98035,24819.15618
40,,,,,,,,,,,,,,,,,,,3998.132534,,,,,1,3998.132534,#DIV/0!,3998.132534
41,,,,,,,,,,,,,,,,,3074.328439,3078.310118,3635.621454,,3127.592874,3503.777992,,5,3283.926175,265.8353182,3127.592874
44,,,,,,,,,,,,,,,,,,2567.695736,2583.881547,1151.584486,1136.767417,1007.649528,1742.800236,6,1698.396492,725.7132501,1447.192361
45,,,,,,,,,,,,,,,,,,4003.852738,,3228.293501,4499.175081,3575.737024,4501.100049,5,3961.631679,563.1299178,4003.852738
49,,,,,,,,,,,,,,,,,,10424.85607,,,,,,1,10424.85607,#DIV/0!,10424.85607
50,,,,,,,,,,,,,,,,,1923.29214,2009.258964,1377.544644,3055.346269,,,,4,2091.360504,700.9016277,1966.275552
51,,,,,,,,,,,,,,,,,16610.53621,19277.16554,,14310.89065,17128.24487,16734.37684,,5,16812.24282,1766.296454,16734.37684
53,,,,,,,,,,,,,,,,,15071.70531,15176.96197,13669.22189,17238.69924,15153.98472,,,5,15262.11463,1274.695333,15153.98472
54,,,,,,,,,,,,,,,,,16405.05529,16826.59716,16679.89689,16552.9763,16713.66152,16397.5353,,6,16595.95374,174.2165991,16616.4366
55,,,,,,,,,,,,,,,,,17053.57232,17136.96438,16865.90333,17024.93235,17153.17799,19082.67344,,6,17386.20397,837.4131474,17095.26835
57,,,,,,,,,,,,,,,,,,,,2913.426097,,,,1,2913.426097,#DIV/0!,2913.426097
58,,,,,,,,,,,,,,,,840.3255703,1354.454369,,1482.762766,2526.961212,,,,4,1551.125979,707.3058919,1418.608568
59,,,,,,,,,,,,,,,,,,,5154.102485,,,,,1,5154.102485,#DIV/0!,5154.102485
60,,,,,,,,,,,,,,,,,7016.45712,,9131.931916,6708.404552,,,,3,7618.931196,1319.318946,7016.45712
62,,,,,,,,,,,,,,,,,19080.34938,,18770.1764,,3322.058356,,,3,13724.19471,9009.849188,18770.1764
