Date,Season,Source,Acreage,Owner,clipped UA,clipped _1,SznEndDate,Year,UA
11/11/2016,7/1/2016 - 6/30/2017,Prairie Crossing Homeowners Association,3,Prairie Crossing Homeowners Association,12262.92489,100,1/1/2017,2016,UA
11/11/2016,7/1/2016 - 6/30/2017,Prairie Crossing Homeowners Association,0.55,Prairie Crossing Homeowners Association,2240.883285,100,1/1/2017,2016,UA
11/11/2016,7/1/2016 - 6/30/2017,Prairie Crossing Homeowners Association,1.35,Prairie Crossing Homeowners Association,5472.779506,100,1/1/2017,2016,UA
4/13/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,18.7,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
4/13/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,226.4,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
4/13/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,76.7,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,55.5,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,150.1,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,124.6,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,55.7,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,319.6,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,45.7,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,52,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,113,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,87,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,83,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,73.3,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,26.7,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,101.7,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,5,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,92.9,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,223.4,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,316.7,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,36.5,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,106.1,The Nature Conservancy,0,0,1/1/2016,2016,notUA
1/1/2016,7/1/2015 - 6/30/2016,The Nature Conservancy,193.3,The Nature Conservancy,0,0,1/1/2016,2016,notUA
11/7/2015,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,9.5,Prairie Crossing Homeowners Association,38268.60757,100,1/1/2016,2015,UA
4/24/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,9.2,Prairie Crossing Homeowners Association,37170.80974,100,1/1/2016,2016,UA
5/6/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,1.7,Prairie Crossing Homeowners Association,6974.682911,100,1/1/2016,2016,UA
4/18/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.6,Prairie Crossing Homeowners Association,2244.978307,100,1/1/2016,2016,UA
4/18/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.9,Prairie Crossing Homeowners Association,3731.009168,100,1/1/2016,2016,UA
4/18/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.5,Prairie Crossing Homeowners Association,1985.935603,100,1/1/2016,2016,UA
4/18/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,1,Prairie Crossing Homeowners Association,4136.782907,100,1/1/2016,2016,UA
4/18/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,2.2,Prairie Crossing Homeowners Association,8927.458544,100,1/1/2016,2016,UA
4/18/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,2.8,Prairie Crossing Homeowners Association,11169.15928,100,1/1/2016,2016,UA
4/15/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,3.4,Prairie Crossing Homeowners Association,13674.29036,100,1/1/2016,2016,UA
4/15/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,4.8,Prairie Crossing Homeowners Association,19356.91312,100,1/1/2016,2016,UA
4/15/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.4,Prairie Crossing Homeowners Association,1773.972196,100,1/1/2016,2016,UA
4/17/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.4,Prairie Crossing Homeowners Association,1694.645158,100,1/1/2016,2016,UA
4/17/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.3,Prairie Crossing Homeowners Association,1317.454809,100,1/1/2016,2016,UA
4/17/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.2,Prairie Crossing Homeowners Association,636.6670903,100,1/1/2016,2016,UA
4/16/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.2,Prairie Crossing Homeowners Association,684.231821,100,1/1/2016,2016,UA
4/16/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,3.3,Prairie Crossing Homeowners Association,13256.95771,100,1/1/2016,2016,UA
4/16/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,4.9,Prairie Crossing Homeowners Association,19841.82043,100,1/1/2016,2016,UA
4/16/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.2,Prairie Crossing Homeowners Association,847.081198,100,1/1/2016,2016,UA
4/16/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.2,Prairie Crossing Homeowners Association,900.3292463,100,1/1/2016,2016,UA
4/16/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0,Prairie Crossing Homeowners Association,98.40858836,100,1/1/2016,2016,UA
4/16/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.2,Prairie Crossing Homeowners Association,954.3881569,100,1/1/2016,2016,UA
3/20/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.3,Prairie Crossing Homeowners Association,1358.161155,100,1/1/2016,2016,UA
3/26/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.7,Prairie Crossing Homeowners Association,2696.397036,100,1/1/2016,2016,UA
3/20/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.7,Prairie Crossing Homeowners Association,2777.985898,100,1/1/2016,2016,UA
3/26/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.1,Prairie Crossing Homeowners Association,396.6497942,100,1/1/2016,2016,UA
3/26/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.4,Prairie Crossing Homeowners Association,1592.573099,100,1/1/2016,2016,UA
3/26/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.8,Prairie Crossing Homeowners Association,3417.289251,100,1/1/2016,2016,UA
3/20/2016,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,0.3,Prairie Crossing Homeowners Association,1127.653187,100,1/1/2016,2016,UA
11/15/2015,7/1/2015 - 6/30/2016,Prairie Crossing Homeowners Association,1.9,Prairie Crossing Homeowners Association,7798.848634,100,1/1/2016,2015,UA
11/4/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,80.8,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
4/14/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,14.9,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
11/15/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,14.9,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/16/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,27.7,Illinois Department of Natural Resources,0,0,1/1/2016,2015,notUA
3/22/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,27.7,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
11/17/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,36.7,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/17/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,20.2,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/17/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,22.8,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/17/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,24.8,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/17/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,52.1,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/17/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,35.1,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/17/2016,7/1/2016 - 6/30/2017,Illinois Department of Natural Resources,24.5,Illinois Department of Natural Resources,0,0,1/1/2017,2016,notUA
11/2/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,12.9,Illinois Department of Natural Resources,3955.237016,7.602729205,1/1/2016,2015,UA
11/2/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,49,Illinois Department of Natural Resources,0,0,1/1/2016,2015,notUA
11/20/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,10.7,Illinois Department of Natural Resources,43169.88716,100,1/1/2016,2015,UA
11/20/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,10.2,Illinois Department of Natural Resources,41132.8592,100,1/1/2016,2015,UA
11/20/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,4.5,Illinois Department of Natural Resources,18397.24279,100,1/1/2016,2015,UA
11/4/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,14.5,Illinois Department of Natural Resources,0,0,1/1/2016,2015,notUA
11/4/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,14.6,Illinois Department of Natural Resources,0,0,1/1/2016,2015,notUA
11/4/2015,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,41.3,Illinois Department of Natural Resources,0,0,1/1/2016,2015,notUA
3/11/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,55.7,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
3/18/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,19.7,Illinois Department of Natural Resources,68558.35206,85.85488303,1/1/2016,2016,UA
3/21/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,102.1,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
3/22/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,11.1,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
3/22/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,10.9,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
3/29/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,6.1,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
4/12/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,6,Illinois Department of Natural Resources,24411.59614,100,1/1/2016,2016,UA
4/12/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,13.7,Illinois Department of Natural Resources,55568.51779,100,1/1/2016,2016,UA
4/12/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,2.7,Jane Addamsland Park Foundation,10755.78831,100,1/1/2016,2016,UA
4/12/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,2.1,Illinois Department of Natural Resources,8401.41328,100,1/1/2016,2016,UA
4/12/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,0.9,Jane Addamsland Park Foundation,3720.264707,100,1/1/2016,2016,UA
4/12/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,1.1,Jane Addamsland Park Foundation,4474.144009,100,1/1/2016,2016,UA
4/13/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,48.1,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
4/13/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,10.1,Illinois Department of Natural Resources,1462.368291,3.594854203,1/1/2016,2016,UA
4/14/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,24.8,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
4/14/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,87.6,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
4/14/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,8.6,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
4/14/2016,7/1/2015 - 6/30/2016,Illinois Department of Natural Resources,7,Illinois Department of Natural Resources,0,0,1/1/2016,2016,notUA
